Wavelength (nm),Absorbance (AU),Std.Dev.
190,2.43457651138306,0.079658712535341
191,2.72698354721069,0.130461586395775
192,2.91731071472168,0.0751461512389058
193,2.57629537582397,0.0449735924272023
194,2.50520372390747,0.0287697740636499
195,2.17215156555176,0.0137601455192024
196,1.87685918807983,0.0052793646104922
197,1.57877016067505,0.00162593835780077
198,1.31935977935791,0.000622649279702586
199,1.1079363822937,0.000880096212794664
200,0.931297779083252,0.000551180854368704
201,0.793022632598877,0.000305866413656633
202,0.685830593109131,0.000284961971064727
203,0.604093074798584,0.000214663593932523
204,0.547883033752441,0.000182398783413853
205,0.508822917938232,0.000164850543490081
206,0.482457160949707,0.000232610530281574
207,0.465579986572266,0.00020289743266254
208,0.454432487487793,0.000161928170038797
209,0.446686267852783,0.000160004269818671
210,0.438209056854248,0.000200897329215387
211,0.431169509887695,0.000203354137160303
212,0.424808979034424,0.000235845027446051
213,0.417211532592773,0.000169558358737468
214,0.408614158630371,0.000140439674247157
215,0.399300098419189,0.000218176840433148
216,0.391708850860596,0.000303849676923267
217,0.38285493850708,0.000235165335107036
218,0.369807720184326,0.000163329082216554
219,0.353015422821045,0.000157148050058664
220,0.339425563812256,0.000165772079718115
221,0.327490329742432,0.000122196906727249
222,0.315640449523926,0.0001184803611343
223,0.303266525268555,0.000121796195889968
224,0.290533542633057,0.000114236092056709
225,0.27915096282959,0.000076880288066232
226,0.269142150878906,0.0000733709693257079
227,0.259625434875488,0.0000813507111059929
228,0.250338554382324,0.0000694416367088224
229,0.240259647369385,0.0000777493185522148
230,0.229504585266113,0.0000830011746438235
231,0.219006538391113,0.000108165335683882
232,0.20880126953125,0.00010214559813687
233,0.200196266174316,0.0000959379298397773
234,0.192236423492432,0.0000832377957307026
235,0.184894561767578,0.000089261572554385
236,0.177256107330322,0.0000870485790109244
237,0.169285297393799,0.000124865798649964
238,0.162702560424805,0.0000823272852175225
239,0.157944202423096,0.000109433868092081
240,0.156256198883057,0.0000919937400043998
241,0.158055782318115,0.0000871190753296607
242,0.16285228729248,0.0000957338921686871
243,0.171510219573975,0.0000700447654626244
244,0.18301248550415,0.0000980454193238469
245,0.197718143463135,0.000140436436183584
246,0.21452522277832,0.000192363461801698
247,0.23358678817749,0.000161185066463508
248,0.254868507385254,0.000123514631228608
249,0.277958393096924,0.000146769826638488
250,0.302742481231689,0.000178630098575244
251,0.330176830291748,0.000174253809465937
252,0.359259605407715,0.000182807202598652
253,0.389613151550293,0.000206271619808303
254,0.421798229217529,0.000139559410426052
255,0.455112934112549,0.00016347379858006
256,0.490456581115723,0.000202435205121255
257,0.527721881866455,0.000235118920895708
258,0.564125061035156,0.000337600708007812
259,0.601991653442383,0.000260721372370024
260,0.640126705169678,0.0002460923265802
261,0.678416728973389,0.00025472924842524
262,0.71610164642334,0.000308171116036414
263,0.75324821472168,0.000484143547453562
264,0.789449214935303,0.000240722964066082
265,0.823780059814453,0.000235875876015876
266,0.856208801269531,0.000340839518317433
267,0.887304306030273,0.000356148521108904
268,0.913743019104004,0.000463756435122628
269,0.939036369323731,0.000486706638587322
270,0.958922863006592,0.000557050303230951
271,0.977670192718506,0.000415863242582854
272,0.992109298706055,0.000616330426898825
273,0.999415874481201,0.000560695618489781
274,1.00322914123535,0.000966120565239094
275,1.00122690200806,0.000906887614248225
276,0.995279312133789,0.000787825036616826
277,0.983462810516357,0.000453162915189133
278,0.964146137237549,0.00062163181135563
279,0.941004276275635,0.000576726214398809
280,0.91342306137085,0.000607244211077237
281,0.881171226501465,0.000658209404505085
282,0.843130588531494,0.000604746834236704
283,0.803048133850098,0.00052778097853314
284,0.755302906036377,0.000643192349167216
285,0.706961154937744,0.000620014471272862
286,0.656648635864258,0.000671430066183222
287,0.602768421173096,0.000953689575073244
288,0.547905445098877,0.000523448194031577
289,0.491637229919434,0.000261828326658588
290,0.437212944030762,0.000350817364228045
291,0.385337352752686,0.00037697046059687
292,0.335596561431885,0.000225551536546241
293,0.290825366973877,0.000212568849489954
294,0.248334407806396,0.000276236502799229
295,0.210869312286377,0.000212089106180128
296,0.177232265472412,0.000205728572254087
297,0.146689891815186,0.000185091454222994
298,0.121077537536621,0.000178502765754239
299,0.0980844497680664,0.000184115959450778
300,0.0786814689636231,0.000157283997559267
301,0.0625114440917969,0.000154906772645927
302,0.0489397048950195,0.00015065639640402
303,0.0378155708312988,0.000179351633982813
304,0.0277094841003418,0.000126155649046424
305,0.0200510025024414,0.0000915030503563765
306,0.0135688781738281,0.000123060945385695
307,0.00802946090698242,0.000149984805742621
308,0.00355911254882812,0.000126641342266512
309,-0.000361442565917969,0.0000992600428385266
310,-0.00339412689208984,0.000107887502488889
311,-0.00598621368408203,0.00012340044486056
312,-0.00838518142700195,0.000107397447864855
313,-0.0102925300598145,0.0000828366473923305
314,-0.0117568969726562,0.0000977690611371178
315,-0.013275146484375,0.0000925408132225662
316,-0.0143303871154785,0.0000875226777794332
317,-0.0153646469116211,0.000085008176976905
318,-0.0163350105285645,0.000102822279496029
319,-0.01690673828125,0.0000864693931011155
320,-0.0174198150634766,0.000128682438720984
321,-0.0180721282958984,0.000101035481553261
322,-0.0186114311218262,0.0000898936061422194
323,-0.0190787315368652,0.0000676806476437641
324,-0.0195260047912598,0.0000692383316743342
325,-0.0200772285461426,0.000103479156699905
326,-0.0204706192016602,0.0000927052867122652
327,-0.0207099914550781,0.000116219214487234
328,-0.0208663940429687,0.000149498905686189
329,-0.0211777687072754,0.000137778711764207
330,-0.0217494964599609,0.000108664482298118
331,-0.0216326713562012,0.0000974592628638529
332,-0.0216579437255859,0.000116344358034614
333,-0.0220112800598145,0.000140947127572101
334,-0.0223379135131836,0.000141346631066488
335,-0.0226950645446777,0.000106363549185581
336,-0.0225710868835449,0.000118599284611119
337,-0.0225944519042969,0.000106966808383042
338,-0.0227489471435547,0.000159987216339292
339,-0.0228009223937988,0.000141793123519416
340,-0.0231156349182129,0.000124956812699579
341,-0.023106575012207,0.000158651397319928
342,-0.0230517387390137,0.000174894613439143
343,-0.0231413841247559,0.000142410752244465
344,-0.0233945846557617,0.000141959795723594
345,-0.0229511260986328,0.000164317282145041
346,-0.0230679512023926,0.000213141409288664
347,-0.023402214050293,0.000273030810964837
348,-0.0235061645507812,0.000239981298241478
349,-0.0237636566162109,0.000180861511781709
350,-0.0236310958862305,0.000204331259917782
351,-0.0241122245788574,0.000224350742779063
352,-0.024289608001709,0.000178258031770079
353,-0.0243163108825684,0.000167949601609488
354,-0.0246033668518066,0.000157572857302268
355,-0.0241670608520508,0.000199196974999495
356,-0.0247774124145508,0.000177424436360284
357,-0.0248994827270508,0.000170569123861894
358,-0.0253019332885742,0.000229163790922066
359,-0.0260519981384277,0.00025131444461057
360,-0.0256285667419434,0.000309807673997112
361,-0.0258760452270508,0.000206751665007389
362,-0.0257143974304199,0.000186330487965549
363,-0.0259232521057129,0.00029108164905601
364,-0.0261039733886719,0.000384736379489837
365,-0.0263385772705078,0.000224099260245315
366,-0.0270266532897949,0.000228838121690163
367,-0.0267496109008789,0.000206773658695554
368,-0.0276012420654297,0.000261432032943234
369,-0.0275321006774902,0.000199803304376131
370,-0.0280346870422363,0.000184520577864831
371,-0.0285539627075195,0.000267654775166164
372,-0.0285534858703613,0.000255214365900844
373,-0.0285758972167969,0.000191125469788848
374,-0.0286941528320312,0.000147631741279734
375,-0.0288076400756836,0.000172959821145592
376,-0.0288052558898926,0.000223611716406078
377,-0.0293698310852051,0.000222870239472718
378,-0.0293707847595215,0.000218888512465588
379,-0.0295171737670898,0.000199251757136021
380,-0.0296025276184082,0.000228659203653652
381,-0.0301213264465332,0.000252405001673481
382,-0.0304484367370605,0.000210007659570723
383,-0.0306601524353027,0.000175356824409382
384,-0.0305953025817871,0.000168009159167661
385,-0.0310187339782715,0.000175014178186536
386,-0.0311770439147949,0.000149568850966733
387,-0.0316753387451172,0.00015276362313323
388,-0.0312094688415527,0.000185282991699511
389,-0.0311846733093262,0.000256423144352018
390,-0.0311484336853027,0.000211242628386855
391,-0.0320229530334473,0.000135381450834773
392,-0.0317511558532715,0.000140005106380482
393,-0.0314197540283203,0.000111079520486913
394,-0.0317044258117676,0.000148592741663048
395,-0.032158374786377,0.000168379566273249
396,-0.0324954986572266,0.000139803580573247
397,-0.0325098037719727,0.000154959604788502
398,-0.032137393951416,0.000173311776924572
399,-0.0325841903686523,0.000160140632276419
400,-0.032710075378418,0.000145584561441508
401,-0.0329461097717285,0.00019632260815233
402,-0.0328702926635742,0.000177532051740634
403,-0.0326485633850098,0.000164261922908194
404,-0.0325284004211426,0.000140452625754931
405,-0.032991886138916,0.000189077808685446
406,-0.0324435234069824,0.000150804227453451
407,-0.0327973365783691,0.000206051041414898
408,-0.0332379341125488,0.000160650960632703
409,-0.0332350730895996,0.000146232826096212
410,-0.0332188606262207,0.000213414328655282
411,-0.0327377319335937,0.000187158432735697
412,-0.0327310562133789,0.000139829600223681
413,-0.0329399108886719,0.000191961161011888
414,-0.032860279083252,0.000257244697712117
415,-0.0331225395202637,0.000219647572147399
416,-0.0334434509277344,0.000187590428862984
417,-0.033388614654541,0.000171849359793014
418,-0.0330262184143066,0.000194184578006354
419,-0.0330667495727539,0.000134583011505197
420,-0.0331215858459473,0.000128410042220783
421,-0.0320291519165039,0.000140066806245962
422,-0.0312905311584473,0.000150426820015948
423,-0.031644344329834,0.000177695911759817
424,-0.0328922271728516,0.000159551736758408
425,-0.0328288078308105,0.000191467784337374
426,-0.032475471496582,0.00021498958287345
427,-0.0323057174682617,0.000263773282736575
428,-0.032468318939209,0.000228515968363251
429,-0.0322251319885254,0.000155126787867892
430,-0.0309662818908691,0.000157740153578928
431,-0.0305662155151367,0.00023413821269512
432,-0.0318775177001953,0.000237849510068194
433,-0.0325412750244141,0.000255050385315543
434,-0.0317902565002441,0.000302601927578954
435,-0.0328893661499023,0.000221601572484329
436,-0.0329179763793945,0.000246852476225753
437,-0.0326242446899414,0.000223554767031308
438,-0.0329594612121582,0.000228141541138525
439,-0.0324606895446777,0.000194301634245814
440,-0.0328249931335449,0.000165365586499146
441,-0.032841682434082,0.000235493840546427
442,-0.0325298309326172,0.000182004439583142
443,-0.0330524444580078,0.000204731465158405
444,-0.0333590507507324,0.000227682627821389
445,-0.0322995185852051,0.000196845401963911
446,-0.0323290824890137,0.000235285196107861
447,-0.0321860313415527,0.00019978509574542
448,-0.0317482948303223,0.000246336125045211
449,-0.0329089164733887,0.000311032365579827
450,-0.0328121185302734,0.00029654824515385
451,-0.0327301025390625,0.000245914866793949
452,-0.0330586433410645,0.000251328919998343
453,-0.0323143005371094,0.000332617758850104
454,-0.0331778526306152,0.000362687245029133
455,-0.0331625938415527,0.000251437458843426
456,-0.032707691192627,0.000225978557644628
457,-0.0338563919067383,0.000288533372457133
458,-0.033806324005127,0.000210595820559799
459,-0.0328192710876465,0.000256813001605771
460,-0.031130313873291,0.000285038560020884
461,-0.0308575630187988,0.000270823357060974
462,-0.0321836471557617,0.000248006668643203
463,-0.0328083038330078,0.000337174788087152
464,-0.0329523086547852,0.000314400257899845
465,-0.0329675674438477,0.000237309738387997
466,-0.0322442054748535,0.000244326818514808
467,-0.0313138961791992,0.00028697833408629
468,-0.0319252014160156,0.000291468833845414
469,-0.0310373306274414,0.000335009919552809
470,-0.0323810577392578,0.000301849597024101
471,-0.0330867767333984,0.000362647120319968
472,-0.0330100059509277,0.000309878122191912
473,-0.0321974754333496,0.000260134664723318
474,-0.0325522422790527,0.000274764146505266
475,-0.0337557792663574,0.000353194412887824
476,-0.0331287384033203,0.000271581262856953
477,-0.0321307182312012,0.000194871859892153
478,-0.0320701599121094,0.0002727641922684
479,-0.0319681167602539,0.000287813789519332
480,-0.034428596496582,0.000308100277528996
481,-0.0329041481018066,0.000280600740059405
482,-0.0326900482177734,0.000292720540521896
483,-0.0330181121826172,0.000385397715011312
484,-0.0324373245239258,0.000241247559481652
485,-0.033022403717041,0.00014033601915471
486,-0.035707950592041,0.000132505830881989
487,-0.0313820838928223,0.000201724098577052
488,-0.0319647789001465,0.000231151454115599
489,-0.0333905220031738,0.000287402694515931
490,-0.0351791381835937,0.000258289092616099
491,-0.0337414741516113,0.000241646845277626
492,-0.033423900604248,0.000281215901592637
493,-0.0342044830322266,0.000288098050121478
494,-0.0335140228271484,0.000222040286420521
495,-0.0328373908996582,0.000228857992837697
496,-0.0325179100036621,0.000261111778408608
497,-0.0319709777832031,0.000263248662477685
498,-0.0331110954284668,0.000228504028036234
499,-0.0330233573913574,0.000275379135436632
500,-0.0329179763793945,0.000273510069668791
501,-0.0334315299987793,0.000262355787110129
502,-0.0314669609069824,0.000216759074305067
503,-0.03265380859375,0.000238128485625174
504,-0.032412052154541,0.000173919449146908
505,-0.0334224700927734,0.000188914192419653
506,-0.0336966514587402,0.000256316716733945
507,-0.0329985618591309,0.000300411950939912
508,-0.032954216003418,0.000307112745669501
509,-0.0338139533996582,0.000242240785497383
510,-0.0336551666259766,0.000186574382527873
511,-0.0331950187683105,0.00028082753529548
512,-0.0336246490478516,0.000226384686860451
513,-0.0338139533996582,0.000228380608102514
514,-0.0330514907836914,0.000265238070743134
515,-0.0343499183654785,0.000226296285161791
516,-0.0329475402832031,0.000181929467615668
517,-0.0342273712158203,0.000218772139876399
518,-0.0334930419921875,0.00017261241678999
519,-0.0330033302307129,0.000193358496582078
520,-0.0336880683898926,0.000193851752862474
521,-0.0335249900817871,0.000217295483011597
522,-0.0337624549865723,0.000202295881324793
523,-0.0335526466369629,0.000236680370270959
524,-0.0330071449279785,0.000199251757136021
525,-0.0335502624511719,0.000193071359468113
526,-0.0339446067810059,0.000190453321567538
527,-0.0331149101257324,0.00021774705002095
528,-0.0334625244140625,0.000285835141383395
529,-0.0338821411132812,0.000268848215428889
530,-0.033421516418457,0.000225660382770805
531,-0.0332036018371582,0.000201633906272366
532,-0.0333023071289062,0.000171109477935835
533,-0.0340280532836914,0.00023020915766387
534,-0.0331568717956543,0.000209122316456301
535,-0.033693790435791,0.000223090495248942
536,-0.0331120491027832,0.000272630785143004
537,-0.0331630706787109,0.000183264345542363
538,-0.0330166816711426,0.000237753895245885
539,-0.0334153175354004,0.000181273394559312
540,-0.0337738990783691,0.000160063942688362
541,-0.0338740348815918,0.000166906628733867
542,-0.0335655212402344,0.000217316409606502
543,-0.0334587097167969,0.000193908045115968
544,-0.0338869094848633,0.000208207001480029
545,-0.0335946083068848,0.000180473888027859
546,-0.0332889556884766,0.000204237765856645
547,-0.0337600708007812,0.000130809912923891
548,-0.0328512191772461,0.000099294397196264
549,-0.0333585739135742,0.000126781307235858
550,-0.0338916778564453,0.000187173010640672
551,-0.0337305068969727,0.000213695411686865
552,-0.0344362258911133,0.000166106413987195
553,-0.0339250564575195,0.000216746486304574
554,-0.0331888198852539,0.000208639007417731
555,-0.0334377288818359,0.000149066342793121
556,-0.033205509185791,0.000178742076422647
557,-0.0337033271789551,0.000145209246144671
558,-0.0337610244750977,0.000180332727358605
559,-0.0337996482849121,0.000205277150512529
560,-0.0340700149536133,0.000159967318315596
561,-0.0333890914916992,0.00015476286043877
562,-0.0335373878479004,0.000164272996248028
563,-0.0333342552185059,0.0001948158461342
564,-0.0337786674499512,0.000156044550211043
565,-0.032813549041748,0.000179204514227745
566,-0.0330929756164551,0.000149044986801985
567,-0.0337443351745605,0.000171600436943797
568,-0.0334863662719727,0.0000950234886709682
569,-0.0333461761474609,0.0000795932493695246
570,-0.0330557823181152,0.000107234305433784
571,-0.031773567199707,0.00012856223090519
572,-0.032712459564209,0.000158074214964078
573,-0.031618595123291,0.000111465721730584
574,-0.0324335098266602,0.000113413089279076
575,-0.0316615104675293,0.0000947167130884944
576,-0.0312557220458984,0.000130757756552448
577,-0.0328373908996582,0.0000853058877367831
578,-0.0316948890686035,0.000116537674741794
579,-0.0327777862548828,0.0000873900853117062
580,-0.0320611000061035,0.0000775443371289723
581,-0.0324220657348633,0.0000592392210177585
582,-0.0320186614990234,0.0000607279781390053
583,-0.0307841300964355,0.000103296620666893
584,-0.0323286056518555,0.000069992808281279
585,-0.0319118499755859,0.000072293923006973
586,-0.0318636894226074,0.000143511349800801
587,-0.0315442085266113,0.000118219077710806
588,-0.032832145690918,0.0000871425614292641
589,-0.0323805809020996,0.0000897619828379831
590,-0.032529354095459,0.000108230480972249
591,-0.0327572822570801,0.000145843589472981
592,-0.032707691192627,0.000104654622191762
593,-0.031989574432373,0.000087369268235348
594,-0.0323562622070312,0.000111502433037293
595,-0.0326070785522461,0.000142305337319709
596,-0.032844066619873,0.000131046094786821
597,-0.0322175025939941,0.00011266684318221
598,-0.0330386161804199,0.000122330804881566
599,-0.0327296257019043,0.000157985009101353
600,-0.0314731597900391,0.000116954459373356
601,-0.0321183204650879,0.000109767872390275
602,-0.0322299003601074,0.000082180778054788
603,-0.032402515411377,0.000105336771175263
604,-0.0330033302307129,0.000168009159167661
605,-0.0321564674377441,0.000105804137616504
606,-0.0325846672058105,0.0000964532078493778
607,-0.0323801040649414,0.0000862732708643541
608,-0.0327615737915039,0.000142621348349928
609,-0.0322012901306152,0.000124971368796396
610,-0.0326623916625977,0.000124712745519529
611,-0.0328254699707031,0.000130886371340162
612,-0.03228759765625,0.000121440978819338
613,-0.0326385498046875,0.000110862331981645
614,-0.0326318740844727,0.00010576974793937
615,-0.0322122573852539,0.000180060176410003
616,-0.0330615043640137,0.000120085358158106
617,-0.0323591232299805,0.00015271896454686
618,-0.0325336456298828,0.000103845455745168
619,-0.0326261520385742,0.000116412739009816
620,-0.0320849418640137,0.000117602003309935
621,-0.0324869155883789,0.000130935003449878
622,-0.032649040222168,0.000149638763552929
623,-0.0337543487548828,0.000165250048171649
624,-0.0342059135437012,0.000163857233868507
625,-0.0349364280700684,0.000138292641123384
626,-0.0344228744506836,0.000150317950926849
627,-0.0324554443359375,0.000200571108709156
628,-0.0319309234619141,0.000165719950563399
629,-0.0306606292724609,0.000169783493227972
630,-0.0305562019348145,0.000174977797564388
631,-0.0311799049377441,0.000152352270360329
632,-0.0320639610290527,0.000164665617370343
633,-0.0325980186462402,0.00018029741992266
634,-0.032893180847168,0.000178568990152711
635,-0.0325703620910645,0.000143003455795181
636,-0.0320615768432617,0.000204846934442279
637,-0.032651424407959,0.00019417052651547
638,-0.0320172309875488,0.000183750051179906
639,-0.032416820526123,0.000235196272825981
640,-0.0325560569763184,0.00035035040309849
641,-0.0331263542175293,0.000364717777332695
642,-0.0328459739685059,0.000355330399035778
643,-0.0327959060668945,0.000289898169057043
